Date,icici,sbi
01-12-2022,940.200012,608.099976
02-12-2022,930.599976,607.549988
05-12-2022,933.599976,617.299988
06-12-2022,922.650024,608.950012
07-12-2022,922.150024,607.049988
08-12-2022,931.900024,611.650024
09-12-2022,929.900024,616.5
12-12-2022,930.299988,613.049988
13-12-2022,932.950012,616.75
14-12-2022,921.75,625.5
15-12-2022,908.799988,615.950012
16-12-2022,902,603.349976
19-12-2022,906.450012,604.450012
20-12-2022,909.700012,604.450012
21-12-2022,892.25,593.400024
22-12-2022,890.650024,593.400024
23-12-2022,878.900024,574
26-12-2022,893.200012,597.099976
27-12-2022,900.650024,601.900024
28-12-2022,898.950012,601.049988
29-12-2022,908.049988,611.799988
30-12-2022,890.849976,613.700012
02-01-2023,902.450012,612.200012
03-01-2023,901.349976,612.400024
04-01-2023,899.099976,605.200012
05-01-2023,879.150024,605.099976
06-01-2023,870.099976,600.650024
09-01-2023,873.349976,607.700012
10-01-2023,861.349976,595.150024
11-01-2023,866.299988,596.700012
12-01-2023,860.650024,594.900024
13-01-2023,873.450012,600.099976
16-01-2023,865.25,603
17-01-2023,865.150024,592.950012
18-01-2023,869.5,591.450012
19-01-2023,866.150024,589.849976
20-01-2023,870.349976,592.200012
23-01-2023,871.700012,600.450012
24-01-2023,870.75,594.349976
25-01-2023,855.299988,568.700012
27-01-2023,817.200012,539.950012
30-01-2023,823.5,538.200012
31-01-2023,831.900024,553.5
01-02-2023,847.950012,527.349976
02-02-2023,857.900024,528.099976
03-02-2023,863.799988,544.200012
06-02-2023,853.700012,545.400024
07-02-2023,852.75,547.099976
08-02-2023,859.099976,549.75
09-02-2023,860.799988,550.799988
10-02-2023,853.849976,553.049988
13-02-2023,850.650024,537.5
14-02-2023,865.299988,540.849976
15-02-2023,870.799988,542.25
16-02-2023,869.450012,540.099976
17-02-2023,862.650024,531
20-02-2023,852.099976,525.150024
21-02-2023,854.200012,523.450012
22-02-2023,839.25,516.349976
23-02-2023,839.75,521
24-02-2023,839.700012,521.049988
27-02-2023,856.400024,527.700012
28-02-2023,854.849976,522.799988
01-03-2023,856.299988,536.700012
02-03-2023,854,533.75
03-03-2023,868.549988,561.200012
06-03-2023,867.75,561.700012
08-03-2023,872.099976,564.799988
09-03-2023,855.950012,558.900024
10-03-2023,842.650024,547.349976
13-03-2023,828.400024,530
14-03-2023,830.349976,525.400024
15-03-2023,825.900024,517.549988
16-03-2023,823.900024,524.5
17-03-2023,836.25,529.799988
20-03-2023,836.450012,519.200012
21-03-2023,852.400024,521.849976
22-03-2023,860.200012,521.549988
23-03-2023,855.450012,512.75
24-03-2023,852.400024,505.350006
